,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.90277918417461,71.67757585764897,5.554708047518944,0.6758310723959695,423.9967856135385,13.46746643515602
1,0.8447512389993412,140.39295153921955,7.950887998120572,0.7689896685436345,223.81391437349131,10.926191069479327
2,0.8649816941598163,124.90531860111922,7.414685921592554,0.7815208133996902,211.28274971923025,8.717163317962362
3,0.867805736736179,123.29900763681289,7.415200331812033,0.774585608578513,216.3405676652189,9.639198360355456
4,0.8619528480165097,119.01001852290779,7.637086803518087,0.7620114409639583,253.05900914860518,9.78642941694683
5,0.8613780918039947,112.24747426577322,6.691810759579839,0.7200279153957887,340.5031920388442,11.041211985609708
6,0.879839245231663,98.61276015181785,6.392904464711705,0.7152613589213332,342.67165538575154,11.538713432679206
7,0.8760837174158441,118.52567185929979,7.401514233460157,0.7195730172091026,254.20928551092294,11.453304848626344
8,0.8815141254101938,104.28140818843826,6.81056462076308,0.7054712693262577,291.0638439283105,12.066588387189219
9,0.8576692501143853,144.24412876682933,8.551099051174434,0.5644662093549622,306.90219405466695,12.263093070372365
mean,0.8698755132062537,115.71963153898669,7.18204622322514,0.718773837408921,286.38431974385804,11.089936032437683
