,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.9122257278728144,8.044436767830536,5.5896496601210135,0.6755611490811266,20.599753198613588,13.890465496934139
1,0.8549700226345089,11.452161672130858,8.044448071852266,0.7244947854618289,16.337769005778792,12.628151947283456
2,0.8748964696494153,10.757935132894472,8.045175164490772,0.750308782577876,15.539198642934814,10.492182695897233
3,0.8797646073647605,10.589846112987967,7.700838748393682,0.6888667105237489,17.280304971814626,12.89404426802138
4,0.8729915793453391,10.46391717879797,8.019133497101278,0.7630187204410193,15.874128147428618,12.461442863014879
5,0.875929541592793,10.023203451166806,6.787320055545164,0.7212568106335258,18.4121863078454,12.366808325434338
6,0.8926813669849165,9.384751981731782,6.618674744063438,0.7169077633041612,18.457797079947692,13.512301723666647
7,0.8880450982890163,10.348170631608719,7.605484968668297,0.6297730333738505,18.31976210423769,14.24478278330589
8,0.8963330349217938,9.551912742730307,6.872337083594613,0.6313626475567438,19.086661287395813,14.17456691000217
9,0.8679324365852158,11.569052353647693,8.632063884575356,0.40084006120053084,20.547569255674937,14.546338847618703
mean,0.8815769885240574,10.218538802552711,7.391512587840589,0.6702390464154411,18.045513000167198,13.121108586117884
std,0.0146779091614253,0.9417590426108601,0.8205608975617358,0.09479341061879487,1.6165764896046704,1.102005820190502
