,r2_train,MSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.9028243673782044,71.6442638300176,5.277186816672547,0.680094648355827,418.42024095344425,12.948655438737866
1,0.8482612038349345,137.21885649400542,7.823752454803996,0.7479422662145824,244.20564955243796,11.819614115896663
2,0.8663381356042051,123.65047578761443,7.488946082263323,0.7637362815493989,228.48148086735068,9.86312300975438
3,0.8727591878688994,118.67887062055685,7.5998478878769,0.7534641655561658,236.61178879066642,10.649766205735032
4,0.8674009756706194,114.31320468999151,7.53133528118621,0.7659304732003025,248.89180708407025,9.99334792749149
5,0.8653889773692335,108.99970643364587,6.370467322828873,0.7290665102393559,329.51041609787416,11.600982856705834
6,0.8808421669235539,97.78968878842501,6.366654893843217,0.73314473248965,321.1497249539637,12.218083231662133
7,0.8782548361620199,116.44900120141398,7.398452993097363,0.7144930670526448,258.81430064481657,11.756488569758718
8,0.8816456515725598,104.16564980396728,6.789165979754194,0.7005941051380459,295.8836323165032,12.227596247582492
9,0.8440457641895982,158.05075775998336,9.238765445015027,0.8055098159083366,137.04898563995638,9.726079564186781
mean,0.8707761266573828,115.09604754096213,7.188457515734164,0.7393976065704309,271.90180269010835,11.28037371675114
