,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.900588411601112,8.561118933919962,5.512089786045484,0.6724934791527615,20.696912597641326,13.346703998784786
1,0.8475924005028652,11.739832272909455,7.915632617520297,0.752938775539911,15.471418523298164,11.614473362529296
2,0.8658112139435582,11.14172026944961,7.5369376995104815,0.7689899551823135,14.946600175653144,9.413502701604553
3,0.8673897280108362,11.121466784477205,7.592790362311074,0.7774901199085236,14.613451831859567,9.831829549641576
4,0.8652329187502357,10.778788419342106,7.494953046294173,0.7595801040832095,15.988880781515817,9.990322979298737
5,0.8672005566634025,10.369802371188936,6.355439239950866,0.7176021484602606,18.532496315578296,11.61740603356683
6,0.8821270084491553,9.835408138859485,6.433505052999812,0.7131443030711112,18.58008202595836,12.290655990999115
7,0.876304854461071,10.877231022922299,7.668457850031027,0.7354135895043807,15.487081100272754,11.203199208947419
8,0.8836190709638209,10.120711944042188,6.720151650979511,0.6856109820533574,17.626414591717115,12.750819460664124
9,0.859358626183111,11.938678406748462,8.619676343768802,0.529483664160636,18.208594406660595,12.725134461430601
mean,0.8715224789529168,10.64847585638597,7.184963364941152,0.7112747121116465,17.015193235015516,11.478404774746704
std,0.013331530865285136,0.8927146496033113,0.8246048094168735,0.06579696593973372,1.807133950279482,1.2294366840499134
