Cate_name,Cate_HOMO,Cate_LUMO,Cate_MC_O1,Cate_MC_H1,Cate_MC_O2,Cate_MC_H2,Cate_BL_ArO1,Cate_BL_O1H1,Cate_BL_ArO2,Cate_BL_O2H2,Cate_total_dipole,P_name,P_HOMO,P_LUMO,P_MC_P,P_MC_=O,P_MC_H,P_BL_P=O,P_BL_PH,P_total_dipole,Yield
4Cl-Catechol,-6.12465188,-0.51102258,-0.365888,0.26843,-0.411951,0.280754,1.35874,0.96664,1.37251,0.9626,4.5653,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,3
4Cl-Catechol,-6.12465188,-0.51102258,-0.365888,0.26843,-0.411951,0.280754,1.35874,0.96664,1.37251,0.9626,4.5653,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,64
4NO2-Catechol,-6.62479006,-2.49633714,-0.359226,0.270634,-0.393812,0.28767,1.3561,0.96656,1.36211,0.96341,7.6619,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,34
4NO2-Catechol,-6.62479006,-2.49633714,-0.359226,0.270634,-0.393812,0.28767,1.3561,0.96656,1.36211,0.96341,7.6619,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,7
4NO2-Catechol,-6.62479006,-2.49633714,-0.359226,0.270634,-0.393812,0.28767,1.3561,0.96656,1.36211,0.96341,7.6619,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,5
4NO2-Catechol,-6.62479006,-2.49633714,-0.359226,0.270634,-0.393812,0.28767,1.3561,0.96656,1.36211,0.96341,7.6619,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,74
4OH-Catechol,-5.58206454,-0.18122526,-0.374535,0.266129,-0.423548,0.27595,1.36169,0.96661,1.38,0.96209,1.6945,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,34
4OH-Catechol,-5.58206454,-0.18122526,-0.374535,0.266129,-0.423548,0.27595,1.36169,0.96661,1.38,0.96209,1.6945,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,5
4OH-Catechol,-5.58206454,-0.18122526,-0.374535,0.266129,-0.423548,0.27595,1.36169,0.96661,1.38,0.96209,1.6945,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,3
4OH-Catechol,-5.58206454,-0.18122526,-0.374535,0.266129,-0.423548,0.27595,1.36169,0.96661,1.38,0.96209,1.6945,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,65
4CN-Catechol,-6.47676222,-1.31946139,-0.363123,0.27009,-0.399233,0.285396,1.35719,0.96657,1.36473,0.96317,7.5494,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,33
4CN-Catechol,-6.47676222,-1.31946139,-0.363123,0.27009,-0.399233,0.285396,1.35719,0.96657,1.36473,0.96317,7.5494,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,6
4CN-Catechol,-6.47676222,-1.31946139,-0.363123,0.27009,-0.399233,0.285396,1.35719,0.96657,1.36473,0.96317,7.5494,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,4
4CN-Catechol,-6.47676222,-1.31946139,-0.363123,0.27009,-0.399233,0.285396,1.35719,0.96657,1.36473,0.96317,7.5494,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,63
Dihydroxynaphthalene,-5.83975271,-1.09061688,-0.370068,0.266328,-0.412774,0.280826,1.36035,0.96646,1.37171,0.96291,2.9885,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,99
Dihydroxynaphthalene,-5.83975271,-1.09061688,-0.370068,0.266328,-0.412774,0.280826,1.36035,0.96646,1.37171,0.96291,2.9885,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,16
Dihydroxynaphthalene,-5.83975271,-1.09061688,-0.370068,0.266328,-0.412774,0.280826,1.36035,0.96646,1.37171,0.96291,2.9885,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,3
Dihydroxynaphthalene,-5.83975271,-1.09061688,-0.370068,0.266328,-0.412774,0.280826,1.36035,0.96646,1.37171,0.96291,2.9885,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,81
4Br-Catechol,-6.10669262,-0.51401579,-0.365891,0.268363,-0.411186,0.280545,1.35891,0.96663,1.37221,0.96275,4.4577,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,53
4Br-Catechol,-6.10669262,-0.51401579,-0.365891,0.268363,-0.411186,0.280545,1.35891,0.96663,1.37221,0.96275,4.4577,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,9
4Br-Catechol,-6.10669262,-0.51401579,-0.365891,0.268363,-0.411186,0.280545,1.35891,0.96663,1.37221,0.96275,4.4577,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,4
4Br-Catechol,-6.10669262,-0.51401579,-0.365891,0.268363,-0.411186,0.280545,1.35891,0.96663,1.37221,0.96275,4.4577,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,71
4tBu-Catechol,-5.76138503,-0.07918401,-0.374561,0.263768,-0.419021,0.27554,1.36508,0.96612,1.37625,0.96245,2.6422,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,96
4tBu-Catechol,-5.76138503,-0.07918401,-0.374561,0.263768,-0.419021,0.27554,1.36508,0.96612,1.37625,0.96245,2.6422,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,8
4tBu-Catechol,-5.76138503,-0.07918401,-0.374561,0.263768,-0.419021,0.27554,1.36508,0.96612,1.37625,0.96245,2.6422,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,4
4tBu-Catechol,-5.76138503,-0.07918401,-0.374561,0.263768,-0.419021,0.27554,1.36508,0.96612,1.37625,0.96245,2.6422,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,55
4F-Catechol,-5.98424312,-0.41796096,-0.374336,0.265296,-0.409141,0.281399,1.36395,0.96594,1.371,0.96254,2.6339,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,54
4F-Catechol,-5.98424312,-0.41796096,-0.374336,0.265296,-0.409141,0.281399,1.36395,0.96594,1.371,0.96254,2.6339,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,6
4F-Catechol,-5.98424312,-0.41796096,-0.374336,0.265296,-0.409141,0.281399,1.36395,0.96594,1.371,0.96254,2.6339,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,4
4F-Catechol,-5.98424312,-0.41796096,-0.374336,0.265296,-0.409141,0.281399,1.36395,0.96594,1.371,0.96254,2.6339,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,53
4Ph-Catechol,-5.75022852,-0.86313292,-0.372163,0.265341,-0.415238,0.277522,1.36199,0.9664,1.37406,0.96261,2.6358,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,78
4Ph-Catechol,-5.75022852,-0.86313292,-0.372163,0.265341,-0.415238,0.277522,1.36199,0.9664,1.37406,0.96261,2.6358,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,8
4Ph-Catechol,-5.75022852,-0.86313292,-0.372163,0.265341,-0.415238,0.277522,1.36199,0.9664,1.37406,0.96261,2.6358,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,4
4Ph-Catechol,-5.75022852,-0.86313292,-0.372163,0.265341,-0.415238,0.277522,1.36199,0.9664,1.37406,0.96261,2.6358,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,61
4OCOEt-Catechol,-6.22968634,-1.23020931,-0.360622,0.269568,-0.414199,0.281835,1.35541,0.96708,1.37221,0.96293,0.4393,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,40
4OCOEt-Catechol,-6.22968634,-1.23020931,-0.360622,0.269568,-0.414199,0.281835,1.35541,0.96708,1.37221,0.96293,0.4393,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,6
4OCOEt-Catechol,-6.22968634,-1.23020931,-0.360622,0.269568,-0.414199,0.281835,1.35541,0.96708,1.37221,0.96293,0.4393,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,3
4OCOEt-Catechol,-6.22968634,-1.23020931,-0.360622,0.269568,-0.414199,0.281835,1.35541,0.96708,1.37221,0.96293,0.4393,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,61
4Bz-Catechol,-6.27295183,-1.87075625,-0.358519,0.270428,-0.41314,0.282794,1.35446,0.96728,1.37154,0.96296,1.5794,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,59
4Bz-Catechol,-6.27295183,-1.87075625,-0.358519,0.270428,-0.41314,0.282794,1.35446,0.96728,1.37154,0.96296,1.5794,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,13
4Bz-Catechol,-6.27295183,-1.87075625,-0.358519,0.270428,-0.41314,0.282794,1.35446,0.96728,1.37154,0.96296,1.5794,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,3
4Bz-Catechol,-6.27295183,-1.87075625,-0.358519,0.270428,-0.41314,0.282794,1.35446,0.96728,1.37154,0.96296,1.5794,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,96
4CH2OH-Catechol,-5.90723599,-0.25496707,-0.375071,0.265004,-0.41643,0.277599,1.36299,0.96636,1.3748,0.96248,3.0068,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,20
4CH2OH-Catechol,-5.90723599,-0.25496707,-0.375071,0.265004,-0.41643,0.277599,1.36299,0.96636,1.3748,0.96248,3.0068,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,7
4CH2OH-Catechol,-5.90723599,-0.25496707,-0.375071,0.265004,-0.41643,0.277599,1.36299,0.96636,1.3748,0.96248,3.0068,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,5
4CH2OH-Catechol,-5.90723599,-0.25496707,-0.375071,0.265004,-0.41643,0.277599,1.36299,0.96636,1.3748,0.96248,3.0068,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,72
4OMe-Catechol,-5.50641796,-0.13306179,-0.373428,0.265217,-0.423701,0.275426,1.36303,0.96637,1.37989,0.96195,1.3385,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,63
4OMe-Catechol,-5.50641796,-0.13306179,-0.373428,0.265217,-0.423701,0.275426,1.36303,0.96637,1.37989,0.96195,1.3385,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,6
4OMe-Catechol,-5.50641796,-0.13306179,-0.373428,0.265217,-0.423701,0.275426,1.36303,0.96637,1.37989,0.96195,1.3385,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,5
4OMe-Catechol,-5.50641796,-0.13306179,-0.373428,0.265217,-0.423701,0.275426,1.36303,0.96637,1.37989,0.96195,1.3385,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,59
3F-Catechol,-6.19485626,-0.14639518,-0.368869,0.268137,-0.397379,0.28093,1.3604,0.96628,1.36843,0.96458,1.055,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,38
3F-Catechol,-6.19485626,-0.14639518,-0.368869,0.268137,-0.397379,0.28093,1.3604,0.96628,1.36843,0.96458,1.055,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,6
3F-Catechol,-6.19485626,-0.14639518,-0.368869,0.268137,-0.397379,0.28093,1.3604,0.96628,1.36843,0.96458,1.055,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,4
3F-Catechol,-6.19485626,-0.14639518,-0.368869,0.268137,-0.397379,0.28093,1.3604,0.96628,1.36843,0.96458,1.055,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,51
3OMe-Catechol,-5.82886831,0.13741555,-0.376042,0.264826,-0.409692,0.275924,1.36348,0.96607,1.37166,0.96624,3.8143,Dimethyl Phosphite,-8.17119119,0.94667069,1.127353,-0.601164,-0.070861,1.48127,1.40099,2.8321,44
3OMe-Catechol,-5.82886831,0.13741555,-0.376042,0.264826,-0.409692,0.275924,1.36348,0.96607,1.37166,0.96624,3.8143,Phosphonic acid,-8.45772302,0.52925395,1.093209,-0.603021,-0.065296,1.47916,1.39778,2.0978,5
3OMe-Catechol,-5.82886831,0.13741555,-0.376042,0.264826,-0.409692,0.275924,1.36348,0.96607,1.37166,0.96624,3.8143,Phenylphosphinic Acid,-7.46043987,-1.28136599,1.075293,-0.595198,-0.068256,1.48807,1.40752,4.7321,3
3OMe-Catechol,-5.82886831,0.13741555,-0.376042,0.264826,-0.409692,0.275924,1.36348,0.96607,1.37166,0.96624,3.8143,Phosphinic acid,-8.08221122,0.30095366,0.958398,-0.603526,-0.059276,1.48461,1.410435,3.355,57
