,r2_train,RMSE_train,MAE_train,r2_test,RMSE_test,MAE_test
0,0.8516586086061235,10.457869017080121,6.121268419536406,0.68209574332897,20.391245880437033,13.239075654365482
1,0.7811048868954963,14.06943358662804,8.79579435206483,0.8339554367790554,12.683530858403383,9.009283409514902
2,0.8408669011527474,12.133173239940094,7.893015223926447,0.7803532884375399,14.574354800084622,9.660633333628848
3,0.8299038376621485,12.595654629531658,7.89024021794725,0.7974578503206218,13.942346445849568,9.132972161454662
4,0.8224981701956882,12.370277807397258,7.761127368837034,0.75299572480365,16.206345636525523,9.629299151740161
5,0.8266746090812594,11.8468651915571,6.977361684302784,0.6562065841988205,20.44805505508596,12.975461230641647
6,0.8575982093806978,10.810429745785408,6.809105339847213,0.6994781216489139,19.01752231822455,12.740001630382356
7,0.8271149802239252,12.859400033754834,8.004430420687413,0.7430977012490396,15.260536449446278,10.87554923389629
8,0.8488810039837043,11.53266519183126,7.101591078543239,0.7177944562183373,16.699869135132566,10.457055985299565
9,0.7916206360591217,14.532055831486714,9.926106570361368,0.8899382589357694,8.806579467127136,7.8111743696682705
mean,0.8277921843240913,12.32078242749925,7.728004067605399,0.7553373165920718,15.803038604631661,10.553050616059219
std,0.02255492238710151,1.1657287817331226,0.9762972801395253,0.06506947205589556,3.273524758218312,1.6934695286280532
