Cate_name,Cate_HOMO,Cate_LUMO,Cate_ESP_O1,Cate_ESP_H1,Cate_ESP_O2,Cate_ESP_H2,Cate_BL_ArO1,Cate_BL_O1H1,Cate_BL_ArO2,Cate_BL_O2H2,Cate_total_dipole,Cate_RDKit_PC_0,Cate_RDKit_PC_1,Cate_RDKit_PC_2,Cate_RDKit_PC_3,Cate_RDKit_PC_4,Cate_RDKit_PC_5,Cate_RDKit_PC_6,P_name,P_HOMO,P_LUMO,P_ESP_P,P_ESP_=O,P_ESP_H,P_BL_P=O,P_BL_PH,P_total_dipole,P_RDKit_PC_0,P_RDKit_PC_1,Yield
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,-4.207289566338668,-2.9647288299688586,0.7355582809516312,-2.160820034196554,-1.5569999942502954,5.359975699615067,1.918909043953433,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,3
4Cl-Catechol,-5.88,-0.2,-0.536094,0.4387,-0.58038,0.444427,1.36,0.969,1.377,0.965,3.972492,-4.207289566338668,-2.9647288299688586,0.7355582809516312,-2.160820034196554,-1.5569999942502954,5.359975699615067,1.918909043953433,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,64
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,-1.4131308991325993,10.027292857258644,6.69385881623814,2.601053204447176,4.611557739018447,2.174533342329667,-2.7367154805474936,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,34
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,-1.4131308991325993,10.027292857258644,6.69385881623814,2.601053204447176,4.611557739018447,2.174533342329667,-2.7367154805474936,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,7
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,-1.4131308991325993,10.027292857258644,6.69385881623814,2.601053204447176,4.611557739018447,2.174533342329667,-2.7367154805474936,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,5
4NO2-Catechol,-6.53,-2.24,-0.52478,0.446337,-0.596118,0.458131,1.352,0.97,1.372,0.965,4.66853,-1.4131308991325993,10.027292857258644,6.69385881623814,2.601053204447176,4.611557739018447,2.174533342329667,-2.7367154805474936,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,74
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,-6.258203621024325,-0.4015934534847821,-3.0392924587580183,7.665829537286758,2.018181347975757,-1.606051465177351,5.841368358890263,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,34
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,-6.258203621024325,-0.4015934534847821,-3.0392924587580183,7.665829537286758,2.018181347975757,-1.606051465177351,5.841368358890263,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,5
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,-6.258203621024325,-0.4015934534847821,-3.0392924587580183,7.665829537286758,2.018181347975757,-1.606051465177351,5.841368358890263,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,3
4OH-Catechol,-5.29,0.18,-0.538811,0.434044,-0.589766,0.444692,1.362,0.969,1.382,0.965,1.502173,-6.258203621024325,-0.4015934534847821,-3.0392924587580183,7.665829537286758,2.018181347975757,-1.606051465177351,5.841368358890263,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,65
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,-3.678993148010642,0.590581362707138,0.8464758052160037,2.515245217284288,0.4824519649904201,2.6970599009994807,-4.261320445312293,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,33
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,-3.678993148010642,0.590581362707138,0.8464758052160037,2.515245217284288,0.4824519649904201,2.6970599009994807,-4.261320445312293,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,6
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,-3.678993148010642,0.590581362707138,0.8464758052160037,2.515245217284288,0.4824519649904201,2.6970599009994807,-4.261320445312293,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,4
4CN-Catechol,-6.3,-1.1,-0.532689,0.443858,-0.585877,0.451582,1.355,0.97,1.373,0.965,4.507833,-3.678993148010642,0.590581362707138,0.8464758052160037,2.515245217284288,0.4824519649904201,2.6970599009994807,-4.261320445312293,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,63
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,5.726709710436911,-6.077366462463425,2.4822475382459057,1.9421900388814533,0.1947779561090925,-1.200872514053796,-0.9683634049674048,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,99
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,5.726709710436911,-6.077366462463425,2.4822475382459057,1.9421900388814533,0.1947779561090925,-1.200872514053796,-0.9683634049674048,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,16
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,5.726709710436911,-6.077366462463425,2.4822475382459057,1.9421900388814533,0.1947779561090925,-1.200872514053796,-0.9683634049674048,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,3
Dihydroxynaphthalene,-5.53,-0.78,-0.524816,0.429189,-0.594676,0.45313,1.361,0.969,1.375,0.965,2.594717,5.726709710436911,-6.077366462463425,2.4822475382459057,1.9421900388814533,0.1947779561090925,-1.200872514053796,-0.9683634049674048,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,81
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,-2.070121987948058,-3.818804736120509,0.8999112070076734,-3.920204101532825,-0.6309652113197628,6.160681474758807,2.4301507016889383,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,53
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,-2.070121987948058,-3.818804736120509,0.8999112070076734,-3.920204101532825,-0.6309652113197628,6.160681474758807,2.4301507016889383,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,9
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,-2.070121987948058,-3.818804736120509,0.8999112070076734,-3.920204101532825,-0.6309652113197628,6.160681474758807,2.4301507016889383,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,4
4Br-Catechol,-5.85,-0.24,-0.545632,0.442325,-0.593842,0.453645,1.361,0.969,1.374,0.965,2.466639,-2.070121987948058,-3.818804736120509,0.8999112070076734,-3.920204101532825,-0.6309652113197628,6.160681474758807,2.4301507016889383,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,71
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,6.498966230866841,-2.810507572185598,-4.077319640487453,-5.126235967616559,7.474690081800068,-1.6666460511021743,-1.026104345212151,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,96
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,6.498966230866841,-2.810507572185598,-4.077319640487453,-5.126235967616559,7.474690081800068,-1.6666460511021743,-1.026104345212151,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,8
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,6.498966230866841,-2.810507572185598,-4.077319640487453,-5.126235967616559,7.474690081800068,-1.6666460511021743,-1.026104345212151,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,4
4tBu-Catechol,-5.47,0.29,-0.55744,0.438314,-0.594543,0.444318,1.365,0.969,1.379,0.965,2.330305,6.498966230866841,-2.810507572185598,-4.077319640487453,-5.126235967616559,7.474690081800068,-1.6666460511021743,-1.026104345212151,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,55
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,-5.374006770615384,0.6640549822731112,4.466823842456711,-2.662896064592367,-1.1437553979859212,-3.9663873168860366,1.7364301077280513,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,54
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,-5.374006770615384,0.6640549822731112,4.466823842456711,-2.662896064592367,-1.1437553979859212,-3.9663873168860366,1.7364301077280513,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,6
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,-5.374006770615384,0.6640549822731112,4.466823842456711,-2.662896064592367,-1.1437553979859212,-3.9663873168860366,1.7364301077280513,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,4
4F-Catechol,-5.75,-0.07,-0.536827,0.438522,-0.579968,0.443746,1.359,0.969,1.379,0.965,3.443535,-5.374006770615384,0.6640549822731112,4.466823842456711,-2.662896064592367,-1.1437553979859212,-3.9663873168860366,1.7364301077280513,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,53
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,10.835898013089013,-5.386072094372485,1.9000162038325543,2.434074343194203,-0.6481869729183488,-1.5652176087745142,-1.5354530310521075,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,78
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,10.835898013089013,-5.386072094372485,1.9000162038325543,2.434074343194203,-0.6481869729183488,-1.5652176087745142,-1.5354530310521075,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,8
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,10.835898013089013,-5.386072094372485,1.9000162038325543,2.434074343194203,-0.6481869729183488,-1.5652176087745142,-1.5354530310521075,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,4
4Ph-Catechol,-5.45,-0.55,-0.546552,0.439664,-0.591072,0.446534,1.362,0.969,1.378,0.965,2.30438,10.835898013089013,-5.386072094372485,1.9000162038325543,2.434074343194203,-0.6481869729183488,-1.5652176087745142,-1.5354530310521075,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,61
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,5.55762634187495,10.155955936154063,-4.331018555993867,-3.676337586860997,-0.7817251522006969,-0.4202007695492916,2.4339678537439142,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,40
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,5.55762634187495,10.155955936154063,-4.331018555993867,-3.676337586860997,-0.7817251522006969,-0.4202007695492916,2.4339678537439142,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,6
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,5.55762634187495,10.155955936154063,-4.331018555993867,-3.676337586860997,-0.7817251522006969,-0.4202007695492916,2.4339678537439142,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,3
4OCOEt-Catechol,-5.96,-0.92,-0.541951,0.444866,-0.592838,0.449486,1.357,0.97,1.376,0.965,0.379167,5.55762634187495,10.155955936154063,-4.331018555993867,-3.676337586860997,-0.7817251522006969,-0.4202007695492916,2.4339678537439142,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,61
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,15.795689617881028,2.156977578342309,2.1442667850614137,1.9821218860133076,-3.5167001668859226,1.1928460344596847,2.500303338319529,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,59
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,15.795689617881028,2.156977578342309,2.1442667850614137,1.9821218860133076,-3.5167001668859226,1.1928460344596847,2.500303338319529,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,13
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,15.795689617881028,2.156977578342309,2.1442667850614137,1.9821218860133076,-3.5167001668859226,1.1928460344596847,2.500303338319529,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,3
4Bz-Catechol,-6.01,-1.57,-0.533975,0.442613,-0.592161,0.451875,1.356,0.97,1.376,0.965,1.206435,15.795689617881028,2.156977578342309,2.1442667850614137,1.9821218860133076,-3.5167001668859226,1.1928460344596847,2.500303338319529,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,96
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,-2.1517859267004757,0.880911109181234,-4.020519943071497,1.89987160718296,2.5547993805801736,0.5562646757169588,1.3250631033492877,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,20
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,-2.1517859267004757,0.880911109181234,-4.020519943071497,1.89987160718296,2.5547993805801736,0.5562646757169588,1.3250631033492877,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,7
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,-2.1517859267004757,0.880911109181234,-4.020519943071497,1.89987160718296,2.5547993805801736,0.5562646757169588,1.3250631033492877,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,5
4CH2OH-Catechol,-5.65,0.06,-0.547797,0.441958,-0.586703,0.443331,1.363,0.969,1.378,0.965,1.35107,-2.1517859267004757,0.880911109181234,-4.020519943071497,1.89987160718296,2.5547993805801736,0.5562646757169588,1.3250631033492877,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,72
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,-2.7323724241754976,1.230128476798112,-4.86641227378963,1.020780923171236,-4.061461542108701,-0.1327651875147148,-3.111676180025252,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,63
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,-2.7323724241754976,1.230128476798112,-4.86641227378963,1.020780923171236,-4.061461542108701,-0.1327651875147148,-3.111676180025252,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,6
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,-2.7323724241754976,1.230128476798112,-4.86641227378963,1.020780923171236,-4.061461542108701,-0.1327651875147148,-3.111676180025252,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,5
4OMe-Catechol,-5.21,0.25,-0.54101,0.436375,-0.57553,0.43711,1.363,0.969,1.383,0.964,1.224598,-2.7323724241754976,1.230128476798112,-4.86641227378963,1.020780923171236,-4.061461542108701,-0.1327651875147148,-3.111676180025252,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,59
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,-5.355253368054054,1.564945696555545,4.710129937405501,-3.768273719596441,-2.2866499145003165,-4.557759809650968,1.2356507734235769,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,38
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,-5.355253368054054,1.564945696555545,4.710129937405501,-3.768273719596441,-2.2866499145003165,-4.557759809650968,1.2356507734235769,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,6
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,-5.355253368054054,1.564945696555545,4.710129937405501,-3.768273719596441,-2.2866499145003165,-4.557759809650968,1.2356507734235769,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,4
3F-Catechol,-5.91,0.19,-0.54464,0.442203,-0.543297,0.445787,1.361,0.969,1.371,0.968,1.044813,-5.355253368054054,1.564945696555545,4.710129937405501,-3.768273719596441,-2.2866499145003165,-4.557759809650968,1.2356507734235769,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,51
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,-2.242623997582168,1.8436659910775652,-4.840806299540509,0.1102689194976603,-4.0802441932347495,-0.9807934361240528,-3.889037297029137,Dimethyl Phosphite,-7.85,1.77,0.997297,-0.600515,-0.03584,1.482,1.402,2.286892,1.406982337133737,7.906757383260586,44
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,-2.242623997582168,1.8436659910775652,-4.840806299540509,0.1102689194976603,-4.0802441932347495,-0.9807934361240528,-3.889037297029137,Phosphonic acid,-8.16,1.03,0.934101,-0.61789,0.007945,1.481,1.398,1.745964,-5.49410885527144,0.8421090881045521,5
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,-2.242623997582168,1.8436659910775652,-4.840806299540509,0.1102689194976603,-4.0802441932347495,-0.9807934361240528,-3.889037297029137,Phenylphosphinic Acid,-7.22,-0.99,0.742856,-0.57849,0.009025,1.489,1.409,3.773141,11.128658370951818,-3.7480868433203263,3
3OMe-Catechol,-5.5,0.51,-0.56026,0.441629,-0.517862,0.414814,1.363,0.969,1.374,0.969,3.314558,-2.242623997582168,1.8436659910775652,-4.840806299540509,0.1102689194976603,-4.0802441932347495,-0.9807934361240528,-3.889037297029137,Phosphinic acid,-7.85,0.75,0.788747,-0.578264,-0.038475,1.485,1.412,2.623175,-7.041531852814124,-5.000779628044816,57
